state,action,reward,next_state
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,High
High,Work,2.0,Low
Low,Charge,-0.1,High
High,Work,2.0,Low
Low,Charge,-0.1,Dead
Dead,,-4.0,Dead
High,Work,2.0,High
